No,Name of site,Country,Latitude [decimal degree WGS84],Longitude [decimal degree WGS84],Altitude [m a.s.l.],Type of Site,Laboratory,Date,d18O (�) vs. SMOW,d2H (�) vs. SMOW,d-excess (�) vs. SMOW @ 15-20�C,Precipitation [mm],Sampling frequency
1,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,05/06/2014,-7.74,-46.63,15.26,40.2,weekly
2,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,12/06/2014,-5.56,-37.3,7.22,26.5,weekly
3,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,19/06/2014,-6.49,-41.86,10.04,50.9,weekly
4,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,26/06/2014,-2.47,-11.86,7.86,19.6,weekly
5,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,03/07/2014,-2.88,-15.02,8.02,47,weekly
6,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,10/07/2014,-5.19,-36.66,4.87,3.9,weekly
7,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,17/07/2014,-5.15,-36.46,4.72,13.7,weekly
8,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,24/07/2014,-5.29,-33.19,9.11,28.4,weekly
9,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,31/07/2014,-5.3,-34.76,7.63,27.4,weekly
10,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,07/08/2014,-5.07,-30.54,9.99,9.8,weekly
11,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,21/08/2014,-7.22,-46.52,11.25,29.2,weekly
12,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,28/08/2014,-7.23,-46.88,10.96,6.9,weekly
13,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,11/09/2014,-9.08,-64.92,7.68,56.8,weekly
14,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,18/09/2014,-7.94,-53.55,9.93,27.4,weekly
15,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,02/10/2014,-8.27,-50.21,15.91,50,weekly
16,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,09/10/2014,-8.76,-60.56,9.5,7.8,weekly
17,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,16/10/2014,-3.8,-23.19,7.18,8.3,weekly
18,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,23/10/2014,-6.49,-42.85,9.06,63.7,weekly
19,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,30/10/2014,-8.06,-52.37,12.08,75.4,weekly
20,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,13/11/2014,-2.57,-9.5,11.03,56.8,weekly
21,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,20/11/2014,-3.78,-16.53,13.75,14.7,weekly
22,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,27/11/2014,-6.57,-42.38,10.21,63.7,weekly
23,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,04/12/2014,-3.97,-25.48,6.29,12.7,weekly
24,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,11/12/2014,-4.33,-25.51,9.11,39.2,weekly
25,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,16/04/2015,-2.98,-13.09,10.76,22.5,weekly
26,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,30/04/2015,-1.52,-9.42,2.73,4.9,weekly
27,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,14/05/2015,-2.96,-16.33,7.31,7.8,weekly
28,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,28/05/2015,-3,-14.98,9,23.5,weekly
29,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,07/06/2015,-3.19,-13.89,11.65,1.5,semiweekly
30,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,11/06/2015,-3.01,-13.25,10.81,16.7,semiweekly
31,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,14/06/2015,-5.38,-28.82,14.19,16.7,semiweekly
32,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,18/06/2015,-11.72,-78.32,15.48,19.4,semiweekly
33,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,21/06/2015,-5.48,-33.52,10.31,5.9,semiweekly
34,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,25/06/2015,-5.18,-32.38,9.04,16.7,semiweekly
35,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,05/07/2015,-2.54,-13.73,6.56,62.5,semiweekly
36,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,09/07/2015,-1.69,-4.74,8.75,14.2,semiweekly
37,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,16/07/2015,-3.55,-17.36,11.05,21.6,semiweekly
38,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,19/07/2015,-6.1,-36.69,12.08,44.1,semiweekly
39,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,23/07/2015,-5.23,-30.02,11.85,2.9,semiweekly
40,An Long,Vietnam,105.379,10.699,2,Precipitation collectors,Alfred-Wegener-Institute,30/07/2015,-4.8,-27.68,10.69,1.2,semiweekly
